2023-07-07T04:26:09.576-0400 DEBUG Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@d3957fe
2023-07-07T04:26:09.576-0400 DEBUG Adding type registration nstring -> org.hibernate.type.BasicTypeReference@6622fc65
2023-07-07T04:26:09.576-0400 DEBUG Adding type registration characters -> org.hibernate.type.BasicTypeReference@299321e2
2023-07-07T04:26:09.576-0400 DEBUG Adding type registration char[] -> org.hibernate.type.BasicTypeReference@299321e2
2023-07-07T04:26:09.576-0400 DEBUG Adding type registration [C -> org.hibernate.type.BasicTypeReference@299321e2
2023-07-07T04:26:09.576-0400 DEBUG Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@23fb172e
2023-07-07T04:26:09.576-0400 DEBUG Adding type registration [Ljava.lang.Character; -> org.hibernate.type.BasicTypeReference@23fb172e
2023-07-07T04:26:09.576-0400 DEBUG Adding type registration Character[] -> org.hibernate.type.BasicTypeReference@23fb172e
2023-07-07T04:26:09.577-0400 DEBUG Adding type registration text -> org.hibernate.type.BasicTypeReference@64ba3208
2023-07-07T04:26:09.577-0400 DEBUG Adding type registration ntext -> org.hibernate.type.BasicTypeReference@158a3b2e
2023-07-07T04:26:09.577-0400 DEBUG Adding type registration clob -> org.hibernate.type.BasicTypeReference@25a6944c
2023-07-07T04:26:09.577-0400 DEBUG Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@25a6944c
2023-07-07T04:26:09.577-0400 DEBUG Adding type registration nclob -> org.hibernate.type.BasicTypeReference@5e1fa5b1
2023-07-07T04:26:09.577-0400 DEBUG Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@5e1fa5b1
2023-07-07T04:26:09.577-0400 DEBUG Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@6b00f608
2023-07-07T04:26:09.577-0400 DEBUG Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@2f17e30d
2023-07-07T04:26:09.578-0400 DEBUG Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@3e821657
2023-07-07T04:26:09.578-0400 DEBUG Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@1d131e1b
2023-07-07T04:26:09.578-0400 DEBUG Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@71cf1b07
2023-07-07T04:26:09.578-0400 DEBUG Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@615091b8
2023-07-07T04:26:09.578-0400 DEBUG Adding type registration Duration -> org.hibernate.type.BasicTypeReference@4fce136b
